cod;nombre;tipo;grupo;zona;lat;lon;exp_fob_usd;imp_cif_usd;total_usd;peso_exp_kg;peso_imp_kg;balance_usd;top_destino;top_origen;top_tipo_exp;top_tipo_imp
997;OTROS PUERTOS CHILENOS;Puerto marítimo;maritimo;América del Sur;-41.48;-72.94;197220.0;447887393.5;448084613.5;6551.7;1018528730.5;447690173.5;Luxemburgo;Argentina;Exportación de servicios calificados por Aduanas;Combustibles y lubricantes minerales
998;PASO JAMA;Avanzada fronteriza;terrestre;América del Sur;-23.23;-67.05;71407137.7;218487135.6;289894273.3;35953963.2;125585053.3;147079997.8;Brasil;Brasil;Minería;Resto No combustibles
989;AEROP. CERRO MORENO;Aeropuerto;aereo;América del Sur;-23.45;-70.44;150303.4;239111064.7;239261368.1;141645.0;1875842.8;238960761.4;Aprovisionamiento (Rancho) de naves y aeronaves extranjeras y de maderas para estibar mercancías cargadas en puertos chilenos;Estados Unidos de América;Rancho de naves;Maquinarias, aparatos y sus partes
205;CALBUCO;Puerto marítimo;maritimo;América del Sur;-41.77;-73.13;53931089.0;154807827.8;208738916.8;774794171.6;371455805.0;100876738.8;China;Estados Unidos de América;Forestales y sus derivados;Alimentos
946;GUAYACÁN;Puerto marítimo;maritimo;América del Sur;-29.97;-71.36;163603032.0;36600757.9;200203789.9;1914588099.8;50741688.0;-127002274.2;China;Estados Unidos de América;Minería;Combustibles y lubricantes minerales
967;CARDENAL SAMORE;Avanzada fronteriza;terrestre;América del Sur;-40.72;-71.94;71944649.7;122531737.3;194476387.0;30713338.1;100108552.2;50587087.6;Argentina;Argentina;Otros alimentos;Resto No combustibles
925;PENCO;Puerto marítimo;maritimo;América del Sur;-36.74;-72.99;2906630.4;178750633.5;181657263.9;6264564.6;373162879.0;175844003.0;Perú;China;Otros alimentos;Otros productos relevantes
976;HUEMULES;Avanzada fronteriza;terrestre;América del Sur;-45.62;-71.55;171048071.7;3410943.7;174459015.4;25774793.5;3941706.2;-167637128.0;Estados Unidos de América;Argentina;Productos del mar;Combustibles y lubricantes minerales
912;PUNTA ARENAS;Puerto marítimo;maritimo;América del Sur;-53.16;-70.92;45666418.1;118299169.2;163965587.3;30354889.3;600511542.6;72632751.1;Aprovisionamiento (Rancho) de naves y aeronaves extranjeras y de maderas para estibar mercancías cargadas en puertos chilenos;Argentina;Rancho de naves;Combustibles y lubricantes minerales
913;PATILLOS;Puerto marítimo;maritimo;América del Sur;-20.74;-70.2;127778465.6;0.0;127778465.6;6189361074.0;0.0;-127778465.6;Estados Unidos de América;;Minería;
958;CHUNGARÁ;Avanzada fronteriza;terrestre;América del Sur;-18.22;-69.2;72097659.9;32325050.6;104422710.5;45056458.9;68305506.8;-39772609.3;Bolivia;Bolivia;Resto No minería;Resto No combustibles
961;OLLAGUE;Avanzada fronteriza;terrestre;América del Sur;-21.23;-68.25;89111897.2;13696652.5;102808549.6;88267821.1;15937381.0;-75415244.7;Bolivia;Bolivia;Resto No minería;Resto No combustibles
959;COLCHANE;Avanzada fronteriza;terrestre;América del Sur;-19.28;-68.64;64425448.2;2721793.6;67147241.7;62008749.6;14572675.6;-61703654.6;Bolivia;Bolivia;Resto No minería;Resto No combustibles
911;CHACABUCO / PUERTO AYSÉN;Puerto marítimo;maritimo;América del Sur;-45.46;-72.82;45846169.0;14551796.7;60397965.7;51535484.0;52528.6;-31294372.3;China;Alemania;Minería;Maquinarias, aparatos y sus partes
930;CORRAL;Puerto marítimo;maritimo;América del Sur;-39.887;-73.43;39214054.2;0.0;39214054.2;596991022.0;0.0;-39214054.2;China;;Forestales y sus derivados;
941;GREGORIO;Puerto marítimo;maritimo;América del Sur;-52.62;-70.2;0.0;27460255.6;27460255.6;0.0;65024137.0;27460255.6;;Argentina;;Combustibles y lubricantes minerales
